# Edit this file: fill in the second column with the new name (category__descriptive_name).	
# Leave the second column empty or identical to skip renaming that folder.	
# Lines starting with # are comments.	
#	
# current_path	new_name
output/alanah rae	woman__alanah rae
/character_tennis_ig	character__tennis_instagram
/character_villain	character__villain
/character_ww_mo	character__wonder_woman_sexy
/character_ww_std	character__wonder_woman
/clothes_aside	clothes__panties_aside
/clothes_belly_chain	clothes__belly_chain
/clothes_cosplay	clothes__cosplay
/clothes_garter	clothes__garter
/clothes_general	clothes__general
/clothes_gown	clothes__gown
/clothes_jewelry	clothes__jewelry
/clothes_lingerie	clothes__lingerie
/clothes_ripped	clothes__ripped_leggings
/clothes_thong	clothes__thong
/lighting_dim	lighting__dim
/lighting_neon_hue	lighting__neon_hue
/lighting_silhouette	lighting__silhouette
/object_container	object__container
/object_hourglass	object__hourglass
/object_pedestal	object__pedestal
/object_sand	object__sand
/object_sign	object__sign
/pose_against_wall	pose__against_wall
/pose_arms_raised	pose__arms_raised
/pose_covered	pose__cum_covered
/pose_hanging	pose__hanging
/pose_knee_bend	pose__knee_bend
/pose_kneel	pose__kneel
/pose_partially_submerged	pose__partially_submerged
/pose_pawg	pose__pawg
/pose_point	pose__vulva_focus
/pose_spread	pose__spreading
/pose_squat	pose__squat
/position_behind_behind	sex_act__from_behind_ass_view
/position_behind_frontal	sex_act__from_behind_frontal_view
/position_behind_side	sex_act__from_behind_side_view
/position_bj	sex_act__blowjob
/position_bj_direct	sex_act__blowjob_from_behind
/position_carry_straddle	sex_act__carry_straddle
/position_cm	sex_act__cum
/position_cow	sex_act__cowgirl
/position_dog	sex_act__doggystyle
/position_imminent	sex_act__imminent_penetration
/position_intimate	pose__intimate
/position_leaning	sex_act__reverse_cowgirl_leaning_back
/position_lying_side	sex_act__on_side
/position_on_back	sex_act__lying_on_back
/position_pov	camera__pov_sex
/position_reverse	sex_act__reverse_cowgirl
/position_sidesaddle	sex_act__sidesaddle
/position_sit	sex_act__on_lap
/position_spread_beneath	pose__spreading_from_below
/position_su_t	sex_act__sucking_breast
/position_tj	sex_act__titjob
/setting_alcove	setting__alcove
/setting_alley	setting__alley
/setting_arabic_architecture	setting__arabic_architecture
/setting_audience	setting__audience
/setting_beach	setting__beach
/setting_bedroom	setting__bedroom
/setting_club	setting__club
/setting_floor	setting__floor
/setting_golden_hour	setting__golden_hour
/setting_lair	setting__lair
/setting_landscape	setting__landscape
/setting_lightning	setting__lightning
/setting_night	setting__night
/setting_pap	setting__paparazzi
/setting_skyline	setting__skyline
/setting_smoke	setting__smoke
/setting_stage	setting__stage
/setting_vortex	setting__vortex
/type_asian	ethnicity__asian
/type_athletic	body_type__athletic
/type_black	ethnicity__black
/type_curved_p	body_type__curved_penis
/type_large_man	body_type__large_man
/type_latina	ethnicity__latina
/type_pr	body_type__pregnant
/type_small	body_type__small_breasts
/type_wide	body_type__wide_hips
/alanah	woman__alanah_solo
/alanah_hard	woman__alanah_rae_hardcore
/aletta_20	woman__aletta_ocean_20
/aletta_recent	woman__aletta_ocean_recent
/angelic	woman__angelicfuckdoll
/aryna	woman__aryna_sabalenka
/aryna_tennis	woman__aryna_sabalenka_tennis
/asa_of	woman__asa_akira_onlyfans
/asa_pro	woman__asa_akira_pornstar
/christina	woman__christina_hendricks
/christina_c	woman__christina_carter
/erica	woman__erica_campbell
/erica_ww	woman__erica_campbell_wonder_woman
/gabrielle_all	woman__gabrielle_scream
/gabrielle_cheer	woman__gabrielle_scream_cheerleader
/gina	woman__gina_carano
/jasmine_hour	woman__princess_jasmine_hourglass
/jasmine_hour_ai	woman__princess_jasmine_hourglass_ai
/jasmine_real	woman__princess_jasmine_real
/jenaveve	woman__jenaveve_jolie
/jeneveve_lf	woman__jeneveve_jolie_loyalfans
/jennifer	woman__jennifer_connelly
/krista	woman__krista_allen
/megan	woman__megan_thee_stallion
/pamela	woman__pamela_anderson
/salma	woman__salma_hayek
/sandra	woman__sandra_bullock
/sj	woman__scarlett_johansson
/tia	woman__tia_carrere
/ts	woman__taylor_swift
/vittoria	woman__vittoria_risi
